function,method,step size,iterations,ni,nj,error x1,error x2,error fvalue
f3,newton,hanger_zhang_backtracking_armijo,3,5,5,7.7715611723761e-16,8.88178419700125e-16,1.57772181044202e-30
f3,newton,hanger_zhang_bisection_wolfe_weak,3,7,7,7.7715611723761e-16,8.88178419700125e-16,1.57772181044202e-30
f3,newton,hanger_zhang_wolfe_strong,56,111,2,0,4.44089209850063e-16,7.88860905221012e-31
f3,newton,hanger_zhang_bisection_goldstein,3,9,5,7.7715611723761e-16,8.88178419700125e-16,1.57772181044202e-30
f3,newton,grippo_backtracking_armijo,3,5,5,7.7715611723761e-16,8.88178419700125e-16,1.57772181044202e-30
f3,newton,grippo_bisection_wolfe_weak,3,7,7,7.7715611723761e-16,8.88178419700125e-16,1.57772181044202e-30
f3,newton,grippo_wolfe_strong,56,111,2,0,4.44089209850063e-16,7.88860905221012e-31
f3,newton,grippo_bisection_goldstein,3,9,5,7.7715611723761e-16,8.88178419700125e-16,1.57772181044202e-30
f3,steepest,none,3,9,5,inf,inf,inf
f3,steepest,backtracking_armijo,145,930,289,6.66133814775094e-16,8.88178419700125e-16,7.88860905221012e-31
f3,steepest,wolfe_strong,36,342,31,0,4.44089209850063e-16,7.88860905221012e-31
f3,steepest,bisection_wolfe_weak,86,514,514,1.77635683940025e-15,1.77635683940025e-15,6.31088724176809e-30
f3,steepest,bisection_goldstein,22,247,43,0,0,0
f3,steepest,hanger_zhang_backtracking_armijo,5000,30978,10000,0.4558675606856,0.4558675606856,3.7406741919379
f3,steepest,hanger_zhang_bisection_wolfe_weak,5000,27531,27530,0.11152570336948,0.111525703369479,0.223883685217029
f3,steepest,hanger_zhang_wolfe_strong,5000,26410,24,0.076798441453831,0.0767984414538301,0.106164010975274
f3,steepest,hanger_zhang_bisection_goldstein,5000,45057,10000,0.713764501564678,0.713764501564678,9.17027574648971
f3,steepest,grippo_backtracking_armijo,4400,27037,8799,2.22044604925031e-16,0,0
f3,steepest,grippo_bisection_wolfe_weak,2630,15037,15037,2.22044604925031e-16,0,0
f3,steepest,grippo_wolfe_strong,415,1926,8,2.22044604925031e-16,0,0
f3,steepest,grippo_bisection_goldstein,2490,23523,4979,2.22044604925031e-16,0,0
f4,newton,none,5000,5001,10000,0.00944507163076302,0.00212751879491324,0.00301893549106502
f4,newton,backtracking_armijo,5000,254854,15000,1.40217627348875,0.749386153253358,24.4391562019666
f4,newton,wolfe_strong,5000,59580,19789,0.00944507163055874,0.00212751879489237,0.00301893549106858
f4,newton,bisection_wolfe_weak,5000,259854,264853,1.40217621083734,0.749386170778393,24.4391556096527
f4,newton,bisection_goldstein,5000,509707,15000,1.40217621083734,0.749386170778393,24.4391556096527
f4,newton,hanger_zhang_backtracking_armijo,5000,10005,15000,0.00944507163076302,0.00212751879491324,0.00301893549106502
f4,newton,hanger_zhang_bisection_wolfe_weak,5000,17495,22494,0.00944507163076302,0.00212751879491324,0.00301893549106502
f4,newton,hanger_zhang_wolfe_strong,5000,252257,1,0.00944507163076302,0.00212751879491324,0.00301893549106502
f4,newton,hanger_zhang_bisection_goldstein,5000,20007,15000,0.00944507163076302,0.00212751879491324,0.00301893549106502
f4,newton,grippo_backtracking_armijo,5000,10003,15000,0.00944507163076302,0.00212751879491324,0.00301893549106502
f4,newton,grippo_bisection_wolfe_weak,5000,17495,22494,0.00944507163076302,0.00212751879491324,0.00301893549106502
f4,newton,grippo_wolfe_strong,5000,252218,1,0.00944507163076302,0.00212751879491324,0.00301893549106502
f4,newton,grippo_bisection_goldstein,5000,20005,15000,0.00944507163076302,0.00212751879491324,0.00301893549106502
f4,steepest,none,5000,20005,15000,inf,inf,inf
f4,steepest,backtracking_armijo,5000,208797,10000,0.00944507059391952,0.00212751885374851,0.00301893549107213
f4,steepest,wolfe_strong,5000,59948,23,0.00944507333052891,0.00212751869797989,0.00301893549106858
f4,steepest,bisection_wolfe_weak,5000,257138,257137,0.00944507172751208,0.00212751878940254,0.00301893549107213
f4,steepest,bisection_goldstein,5000,336321,10000,0.0094450675138269,0.00212751902941188,0.00301893549107213
f4,steepest,hanger_zhang_backtracking_armijo,5000,43406,10000,0.0723637957299208,0.00876210112939202,0.233200749629811
f4,steepest,hanger_zhang_bisection_wolfe_weak,5000,39902,39901,0.110247766267134,0.012056320259421,0.515693200985845
f4,steepest,hanger_zhang_wolfe_strong,5000,29945,20016,0.169951474669254,0.00500335112232564,0.762411106606868
f4,steepest,hanger_zhang_bisection_goldstein,5000,69417,10000,0.0804348386753735,0.00860850633843635,0.283336619645704
f4,steepest,grippo_backtracking_armijo,5000,81295,10000,0.0094450832818378,0.00212751813128087,0.00301893549106858
f4,steepest,grippo_bisection_wolfe_weak,5000,38795,38794,0.00944507072750889,0.00212751884636175,0.00301893549106502
f4,steepest,grippo_wolfe_strong,5000,56788,9,0.00944507336164002,0.00212751869632233,0.00301893549106858
f4,steepest,grippo_bisection_goldstein,5000,64507,10000,0.00944555839933625,0.00212749106912524,0.003018935483178
f5,newton,none,5000,5001,10000,nan,nan,nan
f5,newton,backtracking_armijo,9,18,26,1.0097419586829e-28,1.0097419586829e-28,2.03915764624954e-56
f5,newton,wolfe_strong,79,364,3,4.39949904840856e-17,4.42154583004284e-18,1.95510925522195e-33
f5,newton,bisection_wolfe_weak,9,26,35,1.0097419586829e-28,2.01948391736579e-28,5.09789411562385e-56
f5,newton,bisection_goldstein,9,35,26,1.0097419586829e-28,2.01948391736579e-28,5.09789411562385e-56
f5,newton,hanger_zhang_backtracking_armijo,9,18,26,1.0097419586829e-28,1.0097419586829e-28,2.03915764624954e-56
f5,newton,hanger_zhang_bisection_wolfe_weak,9,26,35,1.0097419586829e-28,2.01948391736579e-28,5.09789411562385e-56
f5,newton,hanger_zhang_wolfe_strong,60,140,3,3.64609268262052e-17,6.55195413889377e-18,1.37232728806406e-33
f5,newton,hanger_zhang_bisection_goldstein,9,35,26,1.0097419586829e-28,2.01948391736579e-28,5.09789411562385e-56
f5,newton,grippo_backtracking_armijo,9,18,26,1.0097419586829e-28,1.0097419586829e-28,2.03915764624954e-56
f5,newton,grippo_bisection_wolfe_weak,9,26,35,1.0097419586829e-28,2.01948391736579e-28,5.09789411562385e-56
f5,newton,grippo_wolfe_strong,61,142,3,3.89363641597854e-17,2.64867350409597e-18,1.52305592531472e-33
f5,newton,grippo_bisection_goldstein,9,35,26,1.0097419586829e-28,2.01948391736579e-28,5.09789411562385e-56
f5,steepest,none,9,35,26,inf,inf,inf
f5,steepest,backtracking_armijo,25,78,49,6.85627032245252e-18,3.91826085607981e-17,1.58228525636327e-33
f5,steepest,wolfe_strong,8,40,3,3.95520219608251e-18,2.87545235394022e-19,1.57263066742937e-35
f5,steepest,bisection_wolfe_weak,5000,15009,15008,nan,nan,nan
f5,steepest,bisection_goldstein,5000,20019,10000,nan,nan,nan
f5,steepest,hanger_zhang_backtracking_armijo,5000,10008,10000,5.15377650230993e-147,0.0724316975798939,0.00524635081430521
f5,steepest,hanger_zhang_bisection_wolfe_weak,5000,15010,15009,0.211905875131239,1.80829961496735e-10,0.0449040999151361
f5,steepest,hanger_zhang_wolfe_strong,8,40,3,3.95520219608251e-18,2.87545235394022e-19,1.57263066742937e-35
f5,steepest,hanger_zhang_bisection_goldstein,5000,20013,10000,3.32946308142177e-08,0.00434180915679895,1.88513067551708e-05
f5,steepest,grippo_backtracking_armijo,261,550,521,9.55211620389891e-19,3.24481979382993e-17,1.05379797868278e-33
f5,steepest,grippo_bisection_wolfe_weak,5000,15012,15011,nan,nan,nan
f5,steepest,grippo_wolfe_strong,8,40,3,3.95520219608251e-18,2.87545235394022e-19,1.57263066742937e-35
f5,steepest,grippo_bisection_goldstein,5000,20019,10000,nan,nan,nan
f6,newton,none,57,57,114,0.00486057385712604,0.00126211245324357,6.99689963833515e-21
f6,newton,backtracking_armijo,5000,254413,15000,0.893506375012991,1.27695478817845,37.0167052250215
f6,newton,wolfe_strong,281,561,3,0.00485228217352344,0.00169667840056468,1.79066786078225e-26
f6,newton,bisection_wolfe_weak,5000,259413,264412,0.893506487819556,1.27695453250971,37.0167026015569
f6,newton,bisection_goldstein,5000,508825,15000,0.893506487819556,1.27695453250971,37.0167026015569
f6,newton,hanger_zhang_backtracking_armijo,57,113,170,0.00486057385712604,0.00126211245324357,6.99689963833515e-21
f6,newton,hanger_zhang_bisection_wolfe_weak,57,169,226,0.00486057385712604,0.00126211245324357,6.99689963833515e-21
f6,newton,hanger_zhang_wolfe_strong,281,561,3,0.00485228217352344,0.00169667840056468,1.79066786078225e-26
f6,newton,hanger_zhang_bisection_goldstein,57,225,170,0.00486057385712604,0.00126211245324357,6.99689963833515e-21
f6,newton,grippo_backtracking_armijo,57,113,170,0.00486057385712604,0.00126211245324357,6.99689963833515e-21
f6,newton,grippo_bisection_wolfe_weak,57,169,226,0.00486057385712604,0.00126211245324357,6.99689963833515e-21
f6,newton,grippo_wolfe_strong,281,561,3,0.00485228217352344,0.00169667840056468,1.79066786078225e-26
f6,newton,grippo_bisection_goldstein,57,225,170,0.00486057385712604,0.00126211245324357,6.99689963833515e-21
f6,steepest,none,57,225,170,inf,inf,inf
f6,steepest,backtracking_armijo,5000,10201,10000,0.0493461672944513,0.0139342912130714,1.58369115811853e-07
f6,steepest,wolfe_strong,5000,254923,1,nan,nan,nan
f6,steepest,bisection_wolfe_weak,5000,32342,32341,0.00902808107374527,0.00315104886219878,6.11872358929565e-13
f6,steepest,bisection_goldstein,5000,28225,10000,0.0303715945819052,0.00873750603986036,1.93099727073731e-08
f6,steepest,hanger_zhang_backtracking_armijo,5000,17977,10000,0.0384613861009257,0.0109783824493726,5.30631639931804e-08
f6,steepest,hanger_zhang_bisection_wolfe_weak,5000,31185,31184,0.0156402736424786,0.0767542944101401,1.49229006031078e-09
f6,steepest,hanger_zhang_wolfe_strong,5000,254923,1,nan,nan,nan
f6,steepest,hanger_zhang_bisection_goldstein,5000,68621,10000,0.00648524302003103,0.00222683414109805,4.77549825745566e-15
f6,steepest,grippo_backtracking_armijo,5000,11820,10000,0.0399938084786245,0.109580141999027,4.01131584202259e-08
f6,steepest,grippo_bisection_wolfe_weak,5000,49245,49244,0.00486060116460316,0.00866604243816793,1.24033880517263e-12
f6,steepest,grippo_wolfe_strong,5000,254923,1,nan,nan,nan
f6,steepest,grippo_bisection_goldstein,5000,98407,10000,0.00486074314322908,0.00793820207694333,8.01460436001753e-13
f7,newton,none,31,31,62,3.02442e-08,1,0.999999999999998
f7,newton,backtracking_armijo,5000,235845,15000,3.02442e-08,1.0000054886393,0.999999775079521
f7,newton,wolfe_strong,5000,59771,19910,1.4516654587758e-08,1.00000390148057,0.999999999549509
f7,newton,bisection_wolfe_weak,5000,259516,264515,3.02442e-08,1.00000548864712,0.999999775079201
f7,newton,bisection_goldstein,5000,509217,15000,3.02442e-08,1.00000548864712,0.999999775079201
f7,newton,hanger_zhang_backtracking_armijo,31,61,92,3.02442e-08,1,0.999999999999998
f7,newton,hanger_zhang_bisection_wolfe_weak,14,52,66,3.02442e-08,1,0.999999999999998
f7,newton,hanger_zhang_wolfe_strong,121,1211,5,3.02441999998298e-08,1,0.999999999999998
f7,newton,hanger_zhang_bisection_goldstein,15,83,44,3.02442e-08,1,0.999999999999998
f7,newton,grippo_backtracking_armijo,5000,192819,15000,3.02442e-08,1,0.999999999989905
f7,newton,grippo_bisection_wolfe_weak,14,52,66,3.02442e-08,1,0.999999999999998
f7,newton,grippo_wolfe_strong,5000,59771,19871,2.90650317357518e-08,1.00000029252758,0.999999999950998
f7,newton,grippo_bisection_goldstein,15,83,44,3.02442e-08,1,0.999999999999998
f7,steepest,none,15,83,44,inf,inf,inf
f7,steepest,backtracking_armijo,1525,3084,3049,3.02441999996452e-08,0,1.58063e-15
f7,steepest,wolfe_strong,1509,76230,2,3.02442e-08,1,1.58063e-15
f7,steepest,bisection_wolfe_weak,1481,4473,4473,3.02442e-08,1,1.58063e-15
f7,steepest,bisection_goldstein,1209,4915,2417,3.02442e-08,1,1.58063e-15
f7,steepest,hanger_zhang_backtracking_armijo,5000,10040,10000,5.32439114190643e-05,0.00177488766074663,2.4324966093065e-05
f7,steepest,hanger_zhang_bisection_wolfe_weak,5000,15009,15008,1.4062499697558,0.00177612087082302,1.97756246347216
f7,steepest,hanger_zhang_wolfe_strong,1509,76230,2,3.02442e-08,1,1.58063e-15
f7,steepest,hanger_zhang_bisection_goldstein,5000,20045,10000,3.02442e-08,0.00209353477331264,2.58799094684486e-05
f7,steepest,grippo_backtracking_armijo,1769,3644,3537,3.02441999991016e-08,0,1.58063e-15
