function,method,step size,iterations,ni,nj,error x1,error x2,error fvalue
f3,newton,hanger_zhang_wolfe_strong,10000,29215,1,1.99328610095495,1.27605140213261e-05,3.9866238542612
f3,newton,hanger_zhang_bisection_goldstein,10000,40005,30000,1.99328610095495,1.27605140213261e-05,3.9866238542612
f3,newton,grippo_backtracking_armijo,10000,20001,30000,1.99328610095495,1.2760514021215e-05,3.9866238542612
f3,newton,grippo_bisection_wolfe_weak,10000,31367,41366,1.99328610095495,1.27605140213261e-05,3.9866238542612
f3,newton,grippo_wolfe_strong,10000,118928,2,1.99328610095495,1.27605140213261e-05,3.9866238542612
f3,newton,grippo_bisection_goldstein,10000,40005,30000,1.99328610095495,1.27605140213261e-05,3.9866238542612
f3,steepest,backtracking_armijo,10000,150979,20000,4.36352320942746e-08,3.51880171323149e-06,3.39826892399052e-06
f3,steepest,wolfe_strong,10000,111885,40000,1.44649067130853e-05,0.000142803498577426,0.000178740387277469
f3,steepest,bisection_wolfe_weak,10000,126947,126946,3.64221124371511e-08,5.0024478528421e-06,7.6416979909171e-06
f3,steepest,bisection_goldstein,10000,234181,20000,4.13213268046775e-08,4.82366491205699e-06,6.92113763030793e-06
f3,steepest,hanger_zhang_backtracking_armijo,10000,111078,20000,0.98064783844937,0.989759728696997,25.4127424642557
f3,steepest,hanger_zhang_bisection_wolfe_weak,10000,97325,97324,0.952698512149926,0.962867374505422,23.0617285489093
f3,steepest,hanger_zhang_wolfe_strong,10000,77325,40000,0.952698512149926,0.962867374505422,23.0617285489093
f3,steepest,hanger_zhang_bisection_goldstein,10000,173179,20000,0.910223831907304,0.989739752582039,19.5674954353258
f3,steepest,grippo_backtracking_armijo,10000,146610,20000,1.86523584433385e-06,9.14732520906902e-06,2.76782085267882e-05
f3,steepest,grippo_bisection_wolfe_weak,10000,113952,113951,8.55353305750928e-05,0.000867008824205984,0.00960535644231152
f3,steepest,grippo_wolfe_strong,10000,91498,39996,0.000516701739537551,0.00375385491428548,0.149771962380423
f3,steepest,grippo_bisection_goldstein,10000,227555,20000,3.61138128601723e-06,2.35355362585565e-05,4.81163389594883e-05
f4,newton,backtracking_armijo,10000,509658,30000,1.99656018195158,0.00311063210056584,7.87651605722483
f4,newton,wolfe_strong,10000,119022,39606,5.55111512312578e-16,1.11022302462516e-15,2.00419973732713e-30
f4,newton,bisection_wolfe_weak,10000,491757,501756,1.99656018455975,0.0031106372838936,7.8765160571404
f4,newton,bisection_goldstein,10000,962171,30000,1.99656018453731,0.00311063723940852,7.87651605714113
f4,newton,hanger_zhang_backtracking_armijo,10000,20001,30000,1.96797402493749,0.0528608591823505,7.87696716517687
f4,newton,hanger_zhang_bisection_wolfe_weak,10000,31900,41899,5.6621374255883e-15,1.14352971536391e-14,1.05410305864993e-28
f4,newton,hanger_zhang_wolfe_strong,10000,96737,1,4.44089209850063e-16,8.88178419700125e-16,1.76630887059642e-30
f4,newton,hanger_zhang_bisection_goldstein,10000,42641,30000,6.66133814775094e-16,1.33226762955019e-15,1.07728817369244e-29
f4,newton,grippo_backtracking_armijo,10000,20001,30000,1.96797402493749,0.0528608591823505,7.87696716517687
f4,newton,grippo_bisection_wolfe_weak,10000,459969,469968,5.10702591327572e-15,1.02140518265514e-14,9.28304396170468e-29
f4,newton,grippo_wolfe_strong,10000,69743,3,3.33066907387547e-16,6.66133814775094e-16,1.35585468084861e-31
f4,newton,grippo_bisection_goldstein,10000,923097,30000,3.33066907387547e-16,7.7715611723761e-16,2.98657808336017e-30
